,genre,duration_ms,danceability,energy,key,age,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,cluster
2908,brega,187506.06624605678,0.5622839116719244,0.5528422712933754,4.936908517350158,43.774357201503825,-8.823242902208204,0.04349968454258675,0.42303173501577285,0.0049111303154574125,0.22473438485804414,0.6822555205047318,119.66768769716089,3.892744479495268,3
2909,punk galego,154216.16666666666,0.4872916666666667,0.8470277777777776,5.291666666666667,33.666894977168944,-7.32375,0.06450694444444444,0.1410902777777778,0.06267387680555554,0.30158194444444447,0.6898055555555556,137.90911111111112,4.0,3
2910,geek rock,148149.2857142857,0.6147857142857143,0.6566785714285713,5.035714285714286,28.455772994129156,-8.293714285714286,0.07511071428571428,0.2921727857142857,0.09131821571428574,0.23867857142857143,0.7261428571428572,126.07525000000001,3.9642857142857144,3
2911,musica paraibana,212797.47826086957,0.6125217391304348,0.4039652173913044,5.304347826086956,21.03645026801668,-10.704826086956523,0.0822,0.627304347826087,0.00043539956521739133,0.39755217391304354,0.5469565217391305,112.0224347826087,4.0,2
2912,japanese power metal,331732.80555555556,0.39025000000000004,0.7843888888888889,5.930555555555555,24.38017503805175,-6.691,0.09179583333333334,0.1410300913888889,0.09171794444444442,0.2033722222222222,0.33436249999999995,127.42431944444444,3.9166666666666665,4
2913,progressive deathcore,185942.33333333334,0.27699999999999997,0.9596666666666667,9.666666666666666,5.560730593607307,-5.419666666666667,0.19000000000000003,8.893333333333333e-05,0.19836666666666666,0.322,0.2783333333333333,152.84900000000002,4.0,4
2914,faroese folk,198647.0,0.466,0.304,4.5,24.80958904109589,-14.3375,0.031,0.671,0.00027662499999999996,0.436,0.28800000000000003,131.0335,4.0,2
2915,finnish hardcore,153966.15384615384,0.3263076923076923,0.9106923076923076,4.0,25.28514225500527,-6.588615384615385,0.09502307692307693,0.06716252307692308,0.07011994307692308,0.23093076923076922,0.4426923076923076,135.1093076923077,4.0,4
2916,musica jibara,168764.33333333334,0.6633333333333333,0.42,5.333333333333333,25.043835616438358,-8.850999999999999,0.04856666666666667,0.676,0.0004166666666666667,0.13933333333333334,0.7406666666666667,124.26366666666667,4.0,2
2917,deep norteno,192373.88461538462,0.6867307692307693,0.629,6.6923076923076925,27.291780821917804,-7.763807692307693,0.04551923076923077,0.2847153846153846,0.03244912576923077,0.1459923076923077,0.827076923076923,115.64157692307694,3.8461538461538463,6
2918,sami,204942.44,0.5640799999999999,0.420632,4.0,28.32241095890411,-10.273679999999999,0.084112,0.54273288,0.0779722124,0.13077599999999998,0.501832,120.80172,3.72,3
2919,bulgarian electronic,332738.71428571426,0.6807142857142857,0.8364285714285715,4.142857142857143,4.409784735812133,-8.612857142857143,0.11094285714285713,0.07199995714285713,0.616955,0.25000000000000006,0.3167714285714286,127.39414285714285,4.0,7
2920,glasgow indie,229268.16666666666,0.6285000000000001,0.6750833333333334,7.833333333333333,3.4554794520547945,-7.4238333333333335,0.039724999999999996,0.2712683333333333,0.0006469608333333334,0.17449166666666668,0.6353333333333332,124.36241666666668,4.0,3
2921,gothenburg hip hop,218568.0,0.7024761904761905,0.657,4.619047619047619,5.026875407697325,-7.262333333333332,0.206252380952381,0.3061285714285714,4.2296190476190474e-05,0.19140952380952378,0.687809523809524,116.95290476190473,3.9523809523809526,6
2922,japanese girl punk,244956.36363636365,0.4567272727272727,0.8772727272727271,4.7272727272727275,16.482440846824407,-3.850909090909091,0.07309090909090911,0.10506236363636366,0.05557220000000001,0.23590909090909087,0.5527272727272727,141.96590909090907,4.0,4
2923,latin viral rap,179326.0,0.6833333333333332,0.8450000000000001,9.666666666666666,4.831050228310502,-5.012333333333333,0.20133333333333334,0.15586666666666668,0.0,0.29733333333333334,0.574,123.98666666666666,4.0,6
2924,beatboxing,225343.25,0.73575,0.64375,4.625,12.816438356164383,-7.377249999999999,0.25755,0.24946,0.00027448875,0.35647499999999993,0.6677500000000001,109.28875000000001,4.0,6
2925,trap cristiano,356027.0,0.758,0.825,1.0,3.591780821917808,-5.569,0.245,0.0802,0.0,0.0902,0.187,145.017,4.0,4
2926,regional mexican,196878.78358329303,0.6507992259313014,0.5527739235607162,5.4242864054184805,22.229475139891203,-7.985610062893085,0.060056394129979034,0.41920451620706334,0.009436880096758585,0.18348116432833408,0.7787781003064023,125.46982776971461,3.7187550395097566,3
2927,german pop,230529.26140065148,0.6290211726384365,0.6865862785016286,5.263843648208469,19.618398331176664,-7.9596604234527675,0.08410069218241041,0.23413398051302936,0.014181701091205208,0.22384609120521162,0.5883399429967426,122.54340553745924,3.964169381107492,3
2928,samba paulista,207932.6852791878,0.5968578680203045,0.6357055837563451,5.0,30.222891314929416,-9.919944162436549,0.0735477157360406,0.49867360406091377,0.0030508295939086294,0.3854197969543147,0.7397766497461927,116.34619796954317,4.0,3
2929,munich electronic,219482.19565217392,0.6631304347826087,0.8190652173913043,5.217391304347826,9.398570577724836,-6.977978260869567,0.08135434782608696,0.04476842173913043,0.3888236821739131,0.30422608695652176,0.5086739130434783,129.20584782608697,4.0,7
2930,norwegian classical,272802.82828282827,0.2864565656565657,0.09844111111111112,5.262626262626263,51.78906876989069,-23.835161616161617,0.04666363636363637,0.9553636363636363,0.8080863636363635,0.12944343434343433,0.1486060606060606,95.75441414141412,3.5656565656565657,0
2931,cuatro venezolano,251958.0350877193,0.5931929824561403,0.6179122807017544,6.052631578947368,31.424513338139867,-8.256701754385965,0.05315789473684211,0.5212631578947369,0.0028268233333333327,0.14536315789473686,0.8547894736842107,117.90717543859648,3.9649122807017543,3
2932,german r&b,183837.20833333334,0.681625,0.6169166666666667,4.791666666666667,3.003538812785388,-7.022375,0.16377916666666667,0.18595416666666664,0.0009055779166666668,0.1357708333333333,0.5285416666666667,117.43320833333331,4.0,6
2933,wellington indie,261318.81818181818,0.5416363636363637,0.7704545454545454,7.090909090909091,19.41793275217933,-6.807818181818181,0.05362727272727274,0.06506812727272727,0.14679044545454548,0.27,0.5147272727272726,107.48881818181817,4.0,7
2934,magyar kabare,994735.7272727273,0.5689090909090908,0.5514545454545454,6.0,22.991531755915318,-13.402454545454544,0.6565636363636363,0.6897272727272727,1.2100000000000001e-05,0.5258727272727274,0.5437272727272727,116.92809090909091,3.727272727272727,1
