,year,min_acousticness,max_acousticness,avg_acousticness,wavg_acousticness,min_danceability,max_danceability,avg_danceability,wavg_danceability,min_duration_ms,max_duration_ms,avg_duration_ms,wavg_duration_ms,min_energy,max_energy,avg_energy,wavg_energy,min_instrumentalness,max_instrumentalness,avg_instrumentalness,wavg_instrumentalness,min_key,max_key,avg_key,wavg_key,min_liveness,max_liveness,avg_liveness,wavg_liveness,min_loudness,max_loudness,avg_loudness,wavg_loudness,min_mode,max_mode,avg_mode,wavg_mode,min_speechiness,max_speechiness,avg_speechiness,wavg_speechiness,min_tempo,max_tempo,avg_tempo,wavg_tempo,min_time_signature,max_time_signature,avg_time_signature,wavg_time_signature,min_valence,max_valence,avg_valence,wavg_valence
20,1922,0.123,0.996,0.8988571428571435,16.51650000000001,0.146,0.868,0.5333197278911567,9.799750000000003,40000,311000,166642.02040816325,3062047.125,0.00399,0.926,0.3240540476190476,5.954493125,0.0,0.981,0.3249710473809523,5.971342995624998,0,11,4.850340136054422,89.125,0.0498,0.966,0.2506704081632657,4.606068750000007,-30.026,-3.088,-13.95324149659865,-256.3908125000002,0,1,0.7380952380952381,13.5625,0.0255,0.967,0.24629523809523818,4.5256750000000014,41.694,207.589,109.12040476190482,2005.087437500001,1,5,3.7006802721088436,68.0,0.0539,0.969,0.563605102040816,10.356243749999994
21,1952,0.000119,0.996,0.8817714244256306,0.21395353584352053,0.0,0.919,0.46288109633212465,0.11231374083129593,14960,2365506,229373.10842402256,55655.22562347176,0.0029,1.0,0.2709784683595325,0.06575037457212714,0.0,0.982,0.29325479515920977,0.07115551557848424,0,11,5.042724707779121,1.2235696821516007,0.0274,0.983,0.21794482063683998,0.0528822591687041,-41.785,-2.672,-15.008544135429307,-3.641681955990215,0,1,0.7287384119306731,0.17682151589241943,0.0,0.97,0.11809105199516307,0.028653682151589244,0.0,210.818,110.33973155985488,26.772897212713946,0,5,3.7214832728738414,0.9029828850855789,0.0,0.986,0.46803755102780986,0.11356490602444977
22,1934,6.14e-05,0.996,0.901391568141594,1.1011594291891877,0.0,0.956,0.5562499999999997,0.6795270270270272,14629,921187,184590.83407079647,225500.1540540543,0.00251,0.971,0.31929823008849595,0.3900616216216213,0.0,0.982,0.26418778273230065,0.32273750755405434,0,11,5.002212389380531,6.110810810810808,0.0357,0.906,0.19785851769911503,0.24170824324324303,-32.63,0.674,-12.223808628318585,-14.932868918918931,0,1,0.7267699115044248,0.8878378378378301,0.0,0.942,0.10628174778761061,0.1298360810810812,0.0,207.9,117.52162610619474,143.56695945945955,0,5,3.875,4.733783783783797,0.0,0.976,0.5783210176991153,0.7064894594594593
23,1956,7.88e-06,0.996,0.8230438465980421,0.07775626353244368,0.0694,0.917,0.5025676531137421,0.04747958816522012,15462,3246840,213467.23082861555,20167.108137019033,0.00203,0.996,0.3246739140504366,0.03067325091775465,0.0,0.98,0.21588567700977854,0.020395588477864466,0,11,5.056870818322182,0.4777429314662096,0.0203,0.999,0.20370465774575297,0.019244798580215418,-40.233,-2.101,-13.743276376737011,-1.2983826125009108,0,1,0.6971178589809572,0.06585952884545174,0.0252,0.965,0.09456042202779198,0.008933503512994443,39.84,213.703,112.51597529593383,10.62983687063916,1,5,3.8108594956253214,0.3600272287457948,0.0,0.984,0.5401700463201237,0.051032037536770936
24,1988,1.34e-06,0.996,0.4000348227202588,0.01562550266391362,0.0598,0.974,0.5505661637682815,0.021505310463029212,34124,4252694,244382.7278590349,9545.676396892455,0.00187,1.0,0.5550711263388234,0.02168127590565767,0.0,0.999,0.08484680816307752,0.0033141465484464432,0,11,5.27052861914085,0.20586872517397306,0.0155,0.997,0.21215207877461725,0.008286735763415647,-42.137,-0.012,-11.293002533686467,-0.44110870142197145,0,1,0.6720027640216515,0.026248667323448202,0.0218,0.968,0.09670373142922987,0.003777282194541543,36.959,224.437,119.09716802948297,4.651977804468774,1,5,3.8681331337095473,0.15109065799358862,1e-05,0.996,0.5659355303466557,0.022105643395997177
25,1997,1.32e-06,0.996,0.3593173131583703,0.011756078401960178,0.0,0.98,0.578633930177423,0.018931639528880623,30133,3218360,240819.4975880958,7879.088456610279,0.000207,1.0,0.5911041703049628,0.01933963857390872,0.0,0.992,0.06761010332515748,0.0022120550453544746,0,11,5.165317635516311,0.16899792153182744,0.0108,0.998,0.2203583762570521,0.007209645215911877,-44.727,-0.81,-9.728868612541913,-0.31830735114342534,0,1,0.6527675578448205,0.02135713005540105,0.0,0.965,0.10977409042596656,0.003591568695112531,0.0,239.906,119.18929850380275,3.8996137580149304,0,5,3.8954296459815225,0.1274499576014048,0.0,0.991,0.5712157272504306,0.018688932116747183
26,1994,1.31e-06,0.996,0.3682571624025354,0.012281489168548107,0.0,0.976,0.5720140676013036,0.019076844370574685,30720,3682254,240938.1177261379,8035.360028950113,2.03e-05,1.0,0.5582053505185316,0.018616319426057022,0.0,0.997,0.07287207942769376,0.002430306170671332,0,11,5.247743422316113,0.17501385059293417,0.0127,0.992,0.21289430574227014,0.007100090309068398,-43.401,-0.206,-10.952886594968282,-0.36528212296764734,0,1,0.6745726906087959,0.02249720586304197,0.0,0.969,0.09940334165546373,0.003315131892871722,0.0,231.251,120.05803927405441,4.003972385280274,0,5,3.885346648742078,0.1295775008726444,0.0,0.996,0.5696351277126934,0.0189975059965861
27,1968,0.0,0.996,0.5732547309988509,0.026884819658625835,0.0,0.918,0.502013260619979,0.023543697501615318,32213,1623027,202836.48105625718,9512.738261899622,0.0,0.989,0.45711092805204845,0.0214378428997057,0.0,0.991,0.11181734939341761,0.005244072330479577,0,11,5.078071182548794,0.23815421063967623,0.0,0.98,0.22557005357826257,0.010578910007897199,-60.0,-2.019,-11.661009567546877,-0.5468845215019036,0,1,0.7183314198239571,0.03368870701414337,0.0,0.963,0.09448714121699203,0.0044313105750592215,0.0,238.895,114.1938319938768,5.355525935099421,0,5,3.8101798698813623,0.17869193768395514,0.0,1.0,0.5726267125908917,0.026855366501543566
28,2014,1.22e-06,0.996,0.28520005279362515,0.007755899343025857,0.0,0.975,0.6009291654662438,0.01634202404239143,22655,4786672,237899.39508306925,6469.5772106542945,2.02e-05,1.0,0.6708008897147812,0.018242157141551186,0.0,0.999,0.09549842536252792,0.0025970408044250974,0,11,5.360318832228945,0.14577168868679946,0.0112,0.991,0.20991938922500814,0.005708672340803369,-45.353,1.933,-7.116212042639021,-0.19352248979517245,0,1,0.6223950830692404,0.016925780933752816,0.0,0.953,0.08260819168347253,0.002246496146583901,0.0,217.648,122.89923153750152,3.3421945746617214,0,5,3.934312878133103,0.10699203723097969,0.0,0.988,0.5306993037549231,0.014432151540713523
29,1951,0.000108,0.996,0.863875627068306,0.23059511359003437,0.0,0.882,0.488769028425965,0.13046756511891278,19597,3016635,221644.01994060245,59163.641562853874,0.00121,0.953,0.28947124734832397,0.07726882559456391,0.0,0.992,0.295196893428086,0.07879717755492627,0,11,5.165464573610522,1.3788221970554924,0.0301,0.974,0.20929868476877417,0.05586828992072482,-40.205,-1.843,-14.398671616461586,-3.8434506228765497,0,1,0.714891811624947,0.19082672706681458,0.0,0.962,0.14468158676283388,0.03861998867497169,0.0,213.565,108.77980992787413,29.036694450736164,0,5,3.739075095460331,0.998074745186826,0.0,0.98,0.4883927450148502,0.1303671234428088
30,1930,4.85e-05,0.996,0.9201913932698833,0.6892064865071266,0.0934,0.907,0.5221647858599583,0.3910918533604885,30000,1803280,199710.11692726036,149579.21690427684,0.00384,0.988,0.33988984364377944,0.2545712627291246,0.0,0.982,0.3098669411352818,0.23208465906822803,0,11,5.405846363018354,4.048879837067229,0.0285,0.969,0.21873997280761373,0.16383223014256618,-40.68,0.523,-13.024073419442539,-9.754792260692456,0,1,0.6947654656696125,0.520366598777995,0.0244,0.966,0.12577355540448684,0.09420208757637488,40.145,211.253,110.65091162474498,82.8755045824848,1,5,3.7892590074779062,2.83808553971481,0.0344,0.986,0.5884440516655343,0.4407338085539715
31,1938,0.0,0.996,0.9337306567818039,0.7183009005832784,0.0,0.911,0.509778180286437,0.3921624756966949,5991,1793996,236839.700926706,182196.19248217758,0.0,1.0,0.3007020471777588,0.23132425793907996,0.0,0.984,0.3726619481465878,0.2866816153272846,0,11,5.2106149957877,4.008425145819815,0.0,0.979,0.23517169334456628,0.18091302657161396,-60.0,-0.637,-12.96494271272115,-9.973679196370714,0,1,0.7540016849199663,0.5800388852883941,0.0,0.962,0.09846731255265372,0.07574899546338291,0.0,211.773,112.91267228306668,86.86153078418675,0,5,3.818028643639427,2.9371354504212586,0.0,0.976,0.5471816175231677,0.4209362151652621
32,1973,3.85e-06,0.996,0.5146822782318385,0.020233068323440125,0.0,0.942,0.518485915242167,0.020382596004424075,14708,2052573,229509.39298433048,9022.419122485262,0.00553,0.998,0.5027818162393163,0.019765240168558993,0.0,0.988,0.10465370760861836,0.0041141218687787825,0,11,5.066773504273504,0.19918380489716866,0.0166,0.99,0.22840607193732265,0.008979045625726238,-40.529,3.744,-11.557777777777781,-0.45435663386019765,0,1,0.6958689458689459,0.027355835864986498,0.0,0.964,0.12024034900284893,0.0047268602388385594,0.0,215.918,116.8185585826208,4.592343620938279,0,5,3.8509615384615383,0.15138809167144743,0.0,0.989,0.57457735042735,0.022587649274104372
33,1979,0.0,0.996,0.4384388017320105,0.016891958537712963,0.0,0.947,0.5644309437132455,0.02174612297301669,30400,5621218,220149.00168020162,8481.794480347808,0.0,0.997,0.549863514421731,0.02118487608834041,0.0,0.989,0.08422945228087385,0.0032451516835694284,0,11,5.113973676841221,0.19702870952776483,0.0,0.995,0.2326839260711288,0.008964733997216463,-60.0,-0.173,-10.86637160459249,-0.4186543204548649,0,1,0.6832819938392607,0.026325158868014977,0.0,0.964,0.16292411089330672,0.0062770615080863425,0.0,232.851,118.00343825259046,4.546379513847673,0,5,3.8538224586950434,0.14847821161542746,0.0,0.997,0.6102951694203302,0.02351315772438427
34,1946,0.00147,0.996,0.9269153636839298,0.6012679090291929,0.0,0.9,0.4381100470957614,0.284191547861507,18360,3569933,246451.86132914704,159867.44976238933,0.00239,0.997,0.2475234641548927,0.16056257298031223,0.0,0.979,0.48785957897435955,0.31646288371350983,0,11,5.3636839351125065,3.4792939579090327,0.0359,0.986,0.20896007326007357,0.13554742023082123,-39.384,-1.033,-15.70555939298797,-10.187822131704012,0,1,0.706436420722135,0.4582484725051044,0.0,0.959,0.07321009942438514,0.047489646978954636,0.0,210.818,105.01012663526932,68.11756687033261,0,5,3.746729461015175,2.430414120841891,0.0,0.995,0.44146436420722107,0.2863674134419552
